"Churn","SeniorCitizen","Dependents","tenure","MultipleLines","InternetService","PaperlessBilling","PaymentMethod","TotalCharges","Contrat_par_mois"
0,"No","No",1,"No_phone_service","DSL","Yes","Electronic check",29.85,"Yes"
0,"No","No",34,"No","DSL","No","Mailed check",1889.5,"No"
1,"No","No",2,"No","DSL","Yes","Mailed check",108.15,"Yes"
0,"No","No",45,"No_phone_service","DSL","No","Bank transfer (automatic)",1840.75,"No"
1,"No","No",2,"No","Fiber optic","Yes","Electronic check",151.65,"Yes"
1,"No","No",8,"Yes","Fiber optic","Yes","Electronic check",820.5,"Yes"
0,"No","Yes",22,"Yes","Fiber optic","Yes","Credit card (automatic)",1949.4,"Yes"
0,"No","No",10,"No_phone_service","DSL","No","Mailed check",301.9,"Yes"
1,"No","No",28,"Yes","Fiber optic","Yes","Electronic check",3046.05,"Yes"
0,"No","Yes",62,"No","DSL","No","Bank transfer (automatic)",3487.95,"No"
0,"No","Yes",13,"No","DSL","Yes","Mailed check",587.45,"Yes"
0,"No","No",58,"Yes","Fiber optic","No","Credit card (automatic)",5681.1,"No"
1,"No","No",49,"Yes","Fiber optic","Yes","Bank transfer (automatic)",5036.3,"Yes"
0,"No","No",25,"No","Fiber optic","Yes","Electronic check",2686.05,"Yes"
0,"No","Yes",69,"Yes","Fiber optic","No","Credit card (automatic)",7895.15,"No"
0,"No","Yes",71,"Yes","Fiber optic","No","Bank transfer (automatic)",7382.25,"No"
1,"No","Yes",10,"No","DSL","No","Credit card (automatic)",528.35,"Yes"
0,"No","No",21,"No","Fiber optic","Yes","Electronic check",1862.9,"Yes"
1,"Yes","No",1,"No_phone_service","DSL","Yes","Electronic check",39.65,"Yes"
0,"No","No",58,"Yes","DSL","Yes","Credit card (automatic)",3505.1,"No"
0,"No","Yes",49,"No","DSL","No","Credit card (automatic)",2970.3,"Yes"
0,"No","No",30,"No","DSL","Yes","Bank transfer (automatic)",1530.6,"Yes"
1,"No","Yes",47,"Yes","Fiber optic","Yes","Electronic check",4749.15,"Yes"
1,"No","Yes",1,"No_phone_service","DSL","No","Electronic check",30.2,"Yes"
0,"No","No",72,"Yes","DSL","Yes","Credit card (automatic)",6369.45,"No"
1,"No","Yes",17,"No","DSL","Yes","Mailed check",1093.1,"Yes"
0,"Yes","No",71,"Yes","Fiber optic","Yes","Credit card (automatic)",6766.95,"No"
0,"Yes","No",2,"No","Fiber optic","Yes","Credit card (automatic)",181.65,"Yes"
0,"No","Yes",27,"No","DSL","No","Mailed check",1874.45,"No"
0,"Yes","No",1,"No","DSL","No","Bank transfer (automatic)",45.25,"Yes"
0,"No","Yes",72,"Yes","Fiber optic","No","Bank transfer (automatic)",7251.7,"No"
1,"No","No",5,"No","Fiber optic","Yes","Electronic check",316.9,"Yes"
0,"No","No",46,"No","Fiber optic","Yes","Credit card (automatic)",3548.3,"Yes"
1,"No","No",34,"Yes","Fiber optic","Yes","Electronic check",3549.25,"Yes"
1,"No","No",11,"Yes","Fiber optic","Yes","Bank transfer (automatic)",1105.4,"Yes"
0,"No","Yes",10,"No","DSL","No","Mailed check",475.7,"No"
0,"No","Yes",70,"Yes","DSL","Yes","Credit card (automatic)",4872.35,"No"
0,"No","No",63,"Yes","DSL","Yes","Credit card (automatic)",4861.45,"No"
0,"No","No",13,"Yes","DSL","Yes","Electronic check",981.45,"Yes"
0,"No","No",49,"Yes","Fiber optic","Yes","Electronic check",3906.7,"Yes"
0,"No","No",2,"No","DSL","No","Mailed check",97,"Yes"
1,"No","No",2,"No","Fiber optic","Yes","Electronic check",144.15,"Yes"
0,"No","No",52,"Yes","DSL","Yes","Credit card (automatic)",4217.8,"No"
0,"No","Yes",69,"Yes","DSL","Yes","Credit card (automatic)",4254.1,"No"
0,"Yes","No",43,"Yes","Fiber optic","Yes","Electronic check",3838.75,"Yes"
1,"No","No",15,"No","Fiber optic","Yes","Credit card (automatic)",1426.4,"Yes"
0,"Yes","No",25,"Yes","DSL","Yes","Credit card (automatic)",1752.65,"Yes"
1,"Yes","No",8,"Yes","Fiber optic","Yes","Credit card (automatic)",633.3,"Yes"
0,"Yes","Yes",60,"No","DSL","Yes","Credit card (automatic)",4456.35,"No"
1,"Yes","No",18,"Yes","Fiber optic","Yes","Electronic check",1752.55,"Yes"
0,"No","Yes",63,"Yes","Fiber optic","Yes","Credit card (automatic)",6311.2,"No"
0,"Yes","Yes",66,"Yes","Fiber optic","Yes","Electronic check",7076.35,"No"
0,"No","No",72,"Yes","Fiber optic","Yes","Credit card (automatic)",7853.7,"No"
0,"No","No",47,"Yes","Fiber optic","Yes","Electronic check",4707.1,"Yes"
0,"No","No",60,"Yes","Fiber optic","Yes","Bank transfer (automatic)",5450.7,"Yes"
0,"No","No",72,"No_phone_service","DSL","No","Bank transfer (automatic)",2962,"No"
0,"No","Yes",18,"No","DSL","Yes","Credit card (automatic)",957.1,"No"
1,"No","No",9,"Yes","Fiber optic","No","Electronic check",857.25,"Yes"
0,"No","No",3,"No","DSL","Yes","Electronic check",244.1,"Yes"
0,"No","No",47,"Yes","Fiber optic","Yes","Electronic check",3650.35,"No"
0,"No","No",31,"No","DSL","No","Mailed check",2497.2,"No"
0,"No","No",10,"No","Fiber optic","Yes","Mailed check",887.35,"Yes"
0,"No","No",1,"No","DSL","No","Mailed check",49.05,"Yes"
0,"Yes","Yes",64,"Yes","Fiber optic","Yes","Bank transfer (automatic)",7099,"No"
0,"No","Yes",3,"No","DSL","Yes","Bank transfer (automatic)",177.4,"Yes"
0,"Yes","No",56,"Yes","Fiber optic","No","Electronic check",6139.5,"No"
0,"No","No",46,"No","DSL","No","Credit card (automatic)",2688.85,"No"
0,"No","Yes",8,"No","DSL","No","Mailed check",482.25,"Yes"
0,"Yes","No",30,"No","DSL","Yes","Electronic check",2111.3,"Yes"
1,"No","Yes",1,"No","Fiber optic","Yes","Electronic check",79.35,"Yes"
0,"No","Yes",11,"No_phone_service","DSL","No","Electronic check",565.35,"Yes"
1,"No","No",7,"No","Fiber optic","Yes","Bank transfer (automatic)",496.9,"Yes"
0,"No","No",42,"No","Fiber optic","Yes","Bank transfer (automatic)",4327.5,"Yes"
0,"No","No",9,"Yes","Fiber optic","Yes","Credit card (automatic)",918.75,"Yes"
0,"No","No",35,"No","DSL","Yes","Bank transfer (automatic)",2215.45,"No"
0,"No","No",29,"No_phone_service","DSL","No","Mailed check",1009.25,"Yes"
0,"No","Yes",30,"No","Fiber optic","No","Bank transfer (automatic)",2570.2,"Yes"
0,"Yes","No",1,"No","Fiber optic","No","Electronic check",74.7,"Yes"
0,"No","Yes",66,"Yes","DSL","Yes","Mailed check",5714.25,"No"
0,"No","No",65,"Yes","Fiber optic","Yes","Credit card (automatic)",7107,"Yes"
0,"No","No",72,"Yes","Fiber optic","Yes","Bank transfer (automatic)",7459.05,"No"
1,"No","No",12,"Yes","Fiber optic","Yes","Electronic check",927.35,"Yes"
0,"No","Yes",71,"Yes","DSL","Yes","Credit card (automatic)",4748.7,"No"
1,"Yes","No",25,"No","Fiber optic","Yes","Electronic check",2514.5,"Yes"
0,"No","No",38,"Yes","Fiber optic","No","Bank transfer (automatic)",3605.6,"No"
0,"Yes","No",66,"No_phone_service","DSL","No","Bank transfer (automatic)",3027.25,"No"
1,"No","No",68,"Yes","Fiber optic","Yes","Bank transfer (automatic)",7611.85,"No"
0,"No","No",5,"No_phone_service","DSL","No","Mailed check",100.2,"Yes"
0,"No","Yes",72,"Yes","Fiber optic","Yes","Electronic check",7303.05,"No"
0,"No","No",32,"No_phone_service","DSL","No","Mailed check",927.65,"No"
0,"No","No",43,"Yes","Fiber optic","No","Mailed check",3921.3,"No"
1,"No","No",55,"Yes","Fiber optic","Yes","Electronic check",5238.9,"Yes"
0,"No","No",52,"No","DSL","No","Credit card (automatic)",3042.25,"No"
0,"No","No",43,"No","Fiber optic","Yes","Electronic check",3954.1,"Yes"
1,"Yes","No",37,"Yes","Fiber optic","Yes","Electronic check",2868.15,"Yes"
0,"No","Yes",64,"No_phone_service","DSL","Yes","Electronic check",3423.5,"No"
0,"No","Yes",3,"No","Fiber optic","No","Electronic check",248.4,"Yes"
0,"No","No",36,"No_phone_service","DSL","No","Bank transfer (automatic)",1126.35,"No"
1,"No","Yes",10,"Yes","Fiber optic","Yes","Electronic check",1064.65,"Yes"
0,"No","Yes",27,"Yes","Fiber optic","Yes","Credit card (automatic)",2151.6,"Yes"
0,"No","Yes",56,"Yes","Fiber optic","Yes","Credit card (automatic)",5515.45,"No"
1,"No","No",3,"Yes","Fiber optic","Yes","Electronic check",229.55,"Yes"
0,"No","Yes",7,"No","DSL","No","Mailed check",350.35,"Yes"
0,"No","No",33,"No","Fiber optic","Yes","Electronic check",3027.65,"No"
1,"Yes","No",27,"Yes","Fiber optic","Yes","Electronic check",2135.5,"Yes"
0,"Yes","No",71,"No_phone_service","DSL","Yes","Electronic check",3985.35,"No"
0,"No","No",13,"Yes","Fiber optic","Yes","Electronic check",1215.65,"Yes"
1,"No","Yes",25,"No_phone_service","DSL","Yes","Credit card (automatic)",1502.65,"Yes"
0,"No","No",67,"No","DSL","No","Bank transfer (automatic)",3260.1,"No"
1,"No","No",1,"No_phone_service","DSL","Yes","Electronic check",35.45,"Yes"
1,"No","No",2,"No","DSL","No","Electronic check",81.25,"Yes"
0,"No","No",23,"No","Fiber optic","Yes","Bank transfer (automatic)",1778.5,"Yes"
