"SeniorCitizen","tenure","PhoneService","MultipleLines","PaperlessBilling","MonthlyCharges","Churn","ServiceSup","FibreOptic","Contract_One_year","Contract_Two_year","PaymentMethod_Electronic_check"
"0",0,"0","0","1",0.115422885572139,"0","1","0","0","0","1"
"0",0.464788732394366,"1","0","0",0.385074626865672,"0","1","0","1","0","0"
"0",0.0140845070422535,"1","0","1",0.354228855721393,"1","1","0","0","0","0"
"0",0.619718309859155,"0","0","0",0.239303482587065,"0","1","0","1","0","0"
"0",0.0140845070422535,"1","0","1",0.521890547263682,"1","0","1","0","0","1"
"0",0.0985915492957746,"1","1","1",0.809950248756219,"1","1","1","0","0","1"
"0",0.295774647887324,"1","1","1",0.704975124378109,"0","1","1","0","0","0"
"0",0.126760563380282,"0","0","0",0.114427860696517,"0","1","0","0","0","0"
"0",0.380281690140845,"1","1","1",0.861194029850746,"1","1","1","0","0","1"
"0",0.859154929577465,"1","0","0",0.377114427860696,"0","1","0","1","0","0"
"0",0.169014084507042,"1","0","1",0.315422885572139,"0","1","0","0","0","0"
"0",0.211267605633803,"1","0","0",0.00696517412935323,"0","0","0","0","1","0"
"0",0.802816901408451,"1","1","0",0.816915422885572,"0","1","1","1","0","0"
"0",0.676056338028169,"1","1","1",0.850248756218905,"1","1","1","0","0","0"
"0",0.338028169014085,"1","0","1",0.868159203980099,"0","1","1","0","0","1"
"0",0.957746478873239,"1","1","0",0.945273631840796,"0","1","1","0","1","0"
"0",0.71830985915493,"1","0","0",0.0238805970149254,"0","0","0","1","0","0"
"0",0.985915492957746,"1","1","0",0.880099502487562,"0","1","1","0","1","0"
"0",0.126760563380282,"1","0","0",0.367661691542289,"1","1","0","0","0","0"
"0",0.28169014084507,"1","0","1",0.714427860696517,"0","1","1","0","0","1"
"1",0,"0","0","1",0.212935323383085,"1","1","0","0","0","1"
"0",0.154929577464789,"1","0","0",0.0154228855721393,"0","0","0","1","0","0"
"0",0,"1","0","0",0.0189054726368159,"1","0","0","0","0","0"
"0",0.802816901408451,"1","1","1",0.414427860696517,"0","1","0","0","1","0"
"0",0.676056338028169,"1","0","0",0.411442786069652,"0","1","0","0","0","0"
"0",0.408450704225352,"1","0","1",0.36865671641791,"0","1","0","0","0","0"
"0",0.647887323943662,"1","1","1",0.806965174129353,"1","1","1","0","0","1"
"0",0,"0","0","0",0.118905472636816,"1","1","0","0","0","1"
"0",1,"1","1","1",0.716417910447761,"0","1","0","0","1","0"
"0",0.225352112676056,"1","0","1",0.462189054726368,"1","1","0","0","0","0"
"1",0.985915492957746,"1","1","1",0.777114427860697,"0","1","1","0","1","0"
"1",0.0140845070422535,"1","0","1",0.76865671641791,"0","1","1","0","0","0"
"0",0.366197183098592,"1","0","0",0.476616915422886,"0","1","0","1","0","0"
"0",0,"1","0","0",0.0194029850746269,"0","0","0","0","0","0"
"1",0,"1","0","0",0.26865671641791,"0","0","0","0","0","0"
"0",1,"1","1","0",0.812437810945274,"0","1","1","0","1","0"
"0",0.0563380281690141,"1","0","1",0.511940298507463,"1","0","1","0","0","1"
"0",0.633802816901408,"1","0","1",0.562686567164179,"0","1","1","0","0","0"
"0",0.464788732394366,"1","1","1",0.876616915422886,"1","1","1","0","0","1"
"0",0.140845070422535,"1","1","1",0.792039800995025,"1","1","1","0","0","0"
"0",0.126760563380282,"1","0","0",0.311442786069652,"0","1","0","1","0","0"
"0",0.971830985915493,"1","1","1",0.506965174129353,"0","1","0","0","1","0"
"0",0.225352112676056,"1","0","0",0.0248756218905473,"0","0","0","1","0","0"
"0",0.873239436619718,"1","1","1",0.612935323383085,"0","1","0","0","1","0"
"0",0.169014084507042,"1","1","1",0.576616915422886,"0","1","0","0","0","1"
"0",0.676056338028169,"1","1","1",0.659203980099503,"0","1","1","0","0","1"
"0",0.0140845070422535,"1","0","0",0.308457711442786,"0","1","0","0","0","0"
"0",0.0140845070422535,"1","0","1",0.62089552238806,"1","1","1","0","0","1"
"0",0.71830985915493,"1","1","1",0.611940298507463,"0","1","0","0","1","0"
"0",0.957746478873239,"1","1","1",0.456716417910448,"0","1","0","0","1","0"
"1",0.591549295774648,"1","1","1",0.716417910447761,"0","1","1","0","0","1"
"0",0.197183098591549,"1","0","1",0.804477611940298,"1","1","1","0","0","0"
"1",0.338028169014085,"1","1","1",0.509950248756219,"0","1","0","0","0","0"
"1",0.0985915492957746,"1","1","1",0.62089552238806,"1","1","1","0","0","0"
"1",0.830985915492958,"1","0","1",0.56318407960199,"0","1","0","1","0","0"
"1",0.23943661971831,"1","1","1",0.7681592039801,"1","1","1","0","0","1"
"0",0.873239436619718,"1","1","1",0.809950248756219,"0","1","1","1","0","0"
"1",0.915492957746479,"1","1","1",0.897512437810945,"0","1","1","1","0","1"
"0",0.464788732394366,"1","1","0",0.0666666666666667,"0","0","0","0","1","0"
"0",1,"1","1","1",0.888059701492537,"0","1","1","0","1","0"
"0",0.647887323943662,"1","1","1",0.818407960199005,"0","1","1","0","0","1"
"0",0.830985915492958,"1","1","1",0.712935323383085,"0","1","1","0","0","0"
"0",1,"0","0","0",0.237313432835821,"0","1","0","0","1","0"
"0",0.23943661971831,"1","0","1",0.359701492537313,"0","1","0","1","0","0"
"0",0.112676056338028,"1","1","0",0.75771144278607,"1","1","1","0","0","1"
"0",0.028169014084507,"1","0","1",0.567661691542289,"0","1","0","0","0","1"
"0",0.647887323943662,"1","1","1",0.603482587064677,"0","1","1","1","0","1"
"0",0.422535211267606,"1","0","0",0.606467661691542,"0","1","0","0","1","0"
"0",0.690140845070423,"1","0","0",0.0189054726368159,"0","0","0","0","1","0"
"0",0.126760563380282,"1","0","1",0.612935323383085,"0","1","1","0","0","0"
"0",0,"1","0","0",0.306467661691542,"0","1","0","0","0","0"
"0",0.71830985915493,"1","0","1",0.0213930348258706,"0","0","0","1","0","1"
"1",0.887323943661972,"1","1","1",0.928855721393035,"0","1","1","0","1","0"
"0",0.859154929577465,"1","1","1",0.0597014925373134,"0","0","0","0","1","0"
"0",0.028169014084507,"1","0","1",0.460199004975124,"0","1","0","0","0","0"
"1",0.774647887323944,"1","1","0",0.917910447761194,"0","1","1","1","0","1"
"0",0.633802816901408,"1","0","0",0.372139303482587,"0","1","0","1","0","0"
"0",0.0985915492957746,"1","0","0",0.362189054726368,"0","1","0","0","0","0"
"1",0.408450704225352,"1","0","1",0.562189054726368,"0","1","0","0","0","1"
"0",0.619718309859155,"1","1","1",0.0761194029850746,"0","0","0","1","0","0"
"0",0,"1","0","1",0.607960199004975,"1","1","1","0","0","1"
"0",0.140845070422535,"0","0","0",0.321393034825871,"0","1","0","0","0","1"
"0",0.0845070422535211,"1","0","1",0.566169154228856,"1","1","1","0","0","0"
"0",0.577464788732394,"1","0","1",0.851243781094527,"0","1","1","0","0","0"
"0",0.676056338028169,"1","0","1",0.0189054726368159,"0","0","0","0","1","0"
"0",0.112676056338028,"1","1","1",0.806467661691542,"0","1","1","0","0","0"
"0",0.47887323943662,"1","0","1",0.43681592039801,"0","1","0","1","0","0"
"0",0.661971830985915,"1","0","0",0.0238805970149254,"0","0","0","0","1","0"
"0",0.633802816901408,"1","0","1",0.0169154228855721,"0","0","0","0","1","0"
"0",0.394366197183099,"0","0","0",0.154228855721393,"0","1","0","0","0","0"
"0",0.408450704225352,"1","0","0",0.634825870646766,"0","1","1","0","0","0"
"1",0,"1","0","0",0.561691542288557,"0","1","1","0","0","1"
"0",0.915492957746479,"1","1","1",0.654228855721393,"0","1","0","0","1","0"
"0",0.901408450704225,"1","1","1",0.923383084577114,"0","1","1","0","0","0"
"0",1,"1","1","1",0.822388059701493,"0","1","1","0","1","0"
"0",0.154929577464789,"1","1","1",0.603980099502488,"1","1","1","0","0","1"
"0",0.985915492957746,"1","1","1",0.483582089552239,"0","1","0","1","0","0"
"0",0.0563380281690141,"1","0","0",0.0278606965174129,"1","0","0","0","0","0"
"0",0.71830985915493,"1","0","0",0.027363184079602,"0","0","0","0","1","0"
"1",0.338028169014085,"1","0","1",0.798507462686567,"1","1","1","0","0","1"
"0",0,"1","0","0",0.0194029850746269,"0","0","0","0","0","0"
"0",0,"1","0","0",0.0119402985074627,"0","0","0","0","0","1"
"0",0.52112676056338,"1","1","0",0.763681592039801,"0","1","1","1","0","0"
"1",0.915492957746479,"0","0","0",0.271641791044776,"0","1","0","1","0","0"
"0",0.943661971830986,"1","1","1",0.912935323383085,"1","1","1","0","1","0"
"0",0.0563380281690141,"0","0","0",0.0601990049751244,"0","0","0","0","0","0"
"0",1,"1","1","1",0.854726368159204,"0","1","1","1","0","1"
"0",0.436619718309859,"0","0","0",0.118407960199005,"0","1","0","1","0","0"
"0",0.591549295774648,"1","1","0",0.757213930348259,"0","1","1","1","0","0"
"0",1,"1","0","0",0.0114427860696517,"0","0","0","0","1","0"
"0",0.76056338028169,"1","1","1",0.781094527363184,"1","1","1","0","0","1"
"0",0.71830985915493,"1","0","0",0.395024875621891,"0","1","0","1","0","0"
"0",0.591549295774648,"1","0","1",0.730348258706468,"0","1","1","0","0","1"
"1",0.507042253521127,"1","1","1",0.579601990049751,"1","0","1","0","0","1"
"0",0.887323943661972,"0","0","1",0.361691542288557,"0","1","0","0","1","1"
"0",0.028169014084507,"1","0","0",0.712437810945274,"0","1","1","0","0","1"
"0",0.492957746478873,"0","0","0",0.127363184079602,"0","1","0","0","1","0"
"0",0.126760563380282,"1","1","1",0.81592039800995,"1","1","1","0","0","1"
"0",0.563380281690141,"1","0","0",0.0238805970149254,"0","0","0","0","1","0"
"0",0.366197183098592,"1","1","1",0.666169154228856,"0","1","1","0","0","0"
"0",0.774647887323944,"1","1","1",0.811442786069652,"0","1","1","1","0","0"
